Carrier Code,Sabre Bookings
2I,182
4O,2
AF,2
AS,1
AV,9
AY,6
AZ,-1
BA,3
BE,2
DL,2
EK,4
FB,1
HO,3
KL,4
LA,24
LH,15
LO,45
LX,2
NX,3
OK,-1
OS,12
P9,2428
PU,2
UA,12
W4,168
